LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Baltimore City,03,45,027-002,DEMOCRAT,264,49,11,2,444
Baltimore City,03,45,027-002,GREEN,0,0,0,0,0
Baltimore City,03,45,027-002,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,45,027-002,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,45,027-002,REPUBLICAN,21,2,2,1,43
Baltimore City,03,45,027-002,UNAFFILIATED,0,0,0,4,0
Baltimore City,03,45,027-003,DEMOCRAT,187,76,12,3,459
Baltimore City,03,45,027-003,GREEN,0,0,0,0,0
Baltimore City,03,45,027-003,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,45,027-003,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,45,027-003,REPUBLICAN,15,9,1,0,54
Baltimore City,03,45,027-003,UNAFFILIATED,0,0,0,4,0
Baltimore City,03,45,027-004,DEMOCRAT,158,25,5,6,410
Baltimore City,03,45,027-004,GREEN,0,0,0,0,0
Baltimore City,03,45,027-004,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,45,027-004,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,45,027-004,REPUBLICAN,33,0,3,1,87
Baltimore City,03,45,027-004,UNAFFILIATED,0,0,0,2,0
Baltimore City,03,45,027-005,DEMOCRAT,630,141,21,10,1636
Baltimore City,03,45,027-005,GREEN,0,0,0,0,0
Baltimore City,03,45,027-005,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,45,027-005,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,45,027-005,REPUBLICAN,71,12,1,4,268
Baltimore City,03,45,027-005,UNAFFILIATED,0,0,0,22,0
Baltimore City,02,45,027-006,DEMOCRAT,741,226,11,20,2165
Baltimore City,02,45,027-006,GREEN,0,0,0,0,0
Baltimore City,02,45,027-006,LIBERTARIAN,0,0,0,1,0
Baltimore City,02,45,027-006,OTHER PARTIES,0,0,0,0,0
Baltimore City,02,45,027-006,REPUBLICAN,34,10,2,0,215
Baltimore City,02,45,027-006,UNAFFILIATED,0,0,0,22,0
Baltimore City,02,45,027-007,DEMOCRAT,303,75,26,2,945
Baltimore City,02,45,027-007,GREEN,0,0,0,0,0
Baltimore City,02,45,027-007,LIBERTARIAN,0,0,0,0,0
Baltimore City,02,45,027-007,OTHER PARTIES,0,0,0,0,0
Baltimore City,02,45,027-007,REPUBLICAN,20,1,7,0,83
Baltimore City,02,45,027-007,UNAFFILIATED,0,0,0,6,0
Baltimore City,02,45,027-008,DEMOCRAT,595,128,18,18,1682
Baltimore City,02,45,027-008,GREEN,0,0,0,0,0
Baltimore City,02,45,027-008,LIBERTARIAN,0,0,0,0,0
Baltimore City,02,45,027-008,OTHER PARTIES,0,0,0,0,0
Baltimore City,02,45,027-008,REPUBLICAN,89,5,7,2,251
Baltimore City,02,45,027-008,UNAFFILIATED,0,0,0,20,0
Baltimore City,03,45,027-009,DEMOCRAT,399,66,7,14,957
Baltimore City,03,45,027-009,GREEN,0,0,0,1,0
Baltimore City,03,45,027-009,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,45,027-009,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,45,027-009,REPUBLICAN,65,4,1,2,187
Baltimore City,03,45,027-009,UNAFFILIATED,0,0,0,9,0
Baltimore City,03,45,027-010,DEMOCRAT,184,12,8,1,393
Baltimore City,03,45,027-010,GREEN,0,0,0,0,0
Baltimore City,03,45,027-010,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,45,027-010,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,45,027-010,REPUBLICAN,61,2,0,0,167
Baltimore City,03,45,027-010,UNAFFILIATED,0,0,0,5,0
Baltimore City,03,45,027-011,DEMOCRAT,589,85,16,16,1436
Baltimore City,03,45,027-011,GREEN,0,0,0,0,0
Baltimore City,03,45,027-011,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,45,027-011,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,45,027-011,REPUBLICAN,158,5,2,1,430
Baltimore City,03,45,027-011,UNAFFILIATED,0,0,0,20,0
Baltimore City,03,43,027-012,DEMOCRAT,136,20,0,18,303
Baltimore City,03,43,027-012,GREEN,0,0,0,0,0
Baltimore City,03,43,027-012,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,43,027-012,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,43,027-012,REPUBLICAN,35,0,0,1,114
Baltimore City,03,43,027-012,UNAFFILIATED,0,0,0,14,0
Baltimore City,03,43,027-013,DEMOCRAT,563,113,17,17,2040
Baltimore City,03,43,027-013,GREEN,0,0,0,0,0
Baltimore City,03,43,027-013,LIBERTARIAN,0,0,0,1,0
Baltimore City,03,43,027-013,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,43,027-013,REPUBLICAN,59,7,1,2,252
Baltimore City,03,43,027-013,UNAFFILIATED,0,0,0,9,0
Baltimore City,07,45,027-014,DEMOCRAT,663,132,22,13,1633
Baltimore City,07,45,027-014,GREEN,0,0,0,0,0
Baltimore City,07,45,027-014,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,45,027-014,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,45,027-014,REPUBLICAN,118,10,0,4,311
Baltimore City,07,45,027-014,UNAFFILIATED,0,0,0,18,0
Baltimore City,07,43,027-015,DEMOCRAT,526,162,17,14,1535
Baltimore City,07,43,027-015,GREEN,0,0,0,0,0
Baltimore City,07,43,027-015,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-015,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-015,REPUBLICAN,27,3,1,1,116
Baltimore City,07,43,027-015,UNAFFILIATED,0,0,0,0,0
Baltimore City,07,43,027-016,DEMOCRAT,213,50,8,9,514
Baltimore City,07,43,027-016,GREEN,0,0,0,0,0
Baltimore City,07,43,027-016,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-016,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-016,REPUBLICAN,24,2,1,0,56
Baltimore City,07,43,027-016,UNAFFILIATED,0,0,0,1,0
Baltimore City,07,43,027-017,DEMOCRAT,349,98,16,7,912
Baltimore City,07,43,027-017,GREEN,0,0,0,0,0
Baltimore City,07,43,027-017,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-017,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-017,REPUBLICAN,27,2,4,0,89
Baltimore City,07,43,027-017,UNAFFILIATED,0,0,0,4,0
Baltimore City,07,43,027-018,DEMOCRAT,499,162,37,15,1526
Baltimore City,07,43,027-018,GREEN,0,0,0,1,0
Baltimore City,07,43,027-018,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-018,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-018,REPUBLICAN,33,5,4,1,128
Baltimore City,07,43,027-018,UNAFFILIATED,0,0,0,0,0
Baltimore City,07,43,027-019,DEMOCRAT,182,71,4,5,621
Baltimore City,07,43,027-019,GREEN,0,0,0,0,0
Baltimore City,07,43,027-019,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-019,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-019,REPUBLICAN,2,1,1,0,29
Baltimore City,07,43,027-019,UNAFFILIATED,0,0,0,8,0
Baltimore City,03,43,027-020,DEMOCRAT,527,290,41,23,1885
Baltimore City,03,43,027-020,GREEN,0,0,0,0,0
Baltimore City,03,43,027-020,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,43,027-020,OTHER PARTIES,0,0,0,1,0
Baltimore City,03,43,027-020,REPUBLICAN,13,8,2,0,110
Baltimore City,03,43,027-020,UNAFFILIATED,0,0,0,9,0
Baltimore City,07,43,027-021,DEMOCRAT,639,248,18,12,1972
Baltimore City,07,43,027-021,GREEN,0,0,0,1,0
Baltimore City,07,43,027-021,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-021,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-021,REPUBLICAN,14,2,0,0,66
Baltimore City,07,43,027-021,UNAFFILIATED,0,0,0,5,0
Baltimore City,07,43,027-022,DEMOCRAT,661,442,71,17,2300
Baltimore City,07,43,027-022,GREEN,0,0,0,0,0
Baltimore City,07,43,027-022,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-022,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-022,REPUBLICAN,16,2,5,1,82
Baltimore City,07,43,027-022,UNAFFILIATED,0,0,0,16,0
Baltimore City,07,43,027-023,DEMOCRAT,199,74,3,3,525
Baltimore City,07,43,027-023,GREEN,0,0,0,0,0
Baltimore City,07,43,027-023,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-023,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-023,REPUBLICAN,2,1,0,0,17
Baltimore City,07,43,027-023,UNAFFILIATED,0,0,0,4,0
Baltimore City,07,43,027-024,DEMOCRAT,119,92,3,11,529
Baltimore City,07,43,027-024,GREEN,0,0,0,0,0
Baltimore City,07,43,027-024,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-024,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-024,REPUBLICAN,3,1,0,0,20
Baltimore City,07,43,027-024,UNAFFILIATED,0,0,0,1,0
Baltimore City,07,43,027-025,DEMOCRAT,290,222,10,43,1068
Baltimore City,07,43,027-025,GREEN,0,0,0,2,0
Baltimore City,07,43,027-025,LIBERTARIAN,0,0,0,1,0
Baltimore City,07,43,027-025,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-025,REPUBLICAN,5,6,0,2,42
Baltimore City,07,43,027-025,UNAFFILIATED,0,0,0,9,0
Baltimore City,07,43,027-026,DEMOCRAT,193,187,7,31,733
Baltimore City,07,43,027-026,GREEN,0,0,0,0,0
Baltimore City,07,43,027-026,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-026,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-026,REPUBLICAN,5,10,0,0,32
Baltimore City,07,43,027-026,UNAFFILIATED,0,0,0,2,0
Baltimore City,07,43,027-027,DEMOCRAT,332,282,19,70,1416
Baltimore City,07,43,027-027,GREEN,0,0,0,0,0
Baltimore City,07,43,027-027,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-027,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-027,REPUBLICAN,2,5,0,3,29
Baltimore City,07,43,027-027,UNAFFILIATED,0,0,0,1,0
Baltimore City,07,43,027-028,DEMOCRAT,254,227,16,32,1140
Baltimore City,07,43,027-028,GREEN,0,0,0,0,0
Baltimore City,07,43,027-028,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-028,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-028,REPUBLICAN,0,1,3,1,39
Baltimore City,07,43,027-028,UNAFFILIATED,0,0,0,8,0
Baltimore City,07,43,027-029,DEMOCRAT,212,93,3,5,749
Baltimore City,07,43,027-029,GREEN,0,0,0,0,0
Baltimore City,07,43,027-029,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-029,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-029,REPUBLICAN,1,3,0,0,23
Baltimore City,07,43,027-029,UNAFFILIATED,0,0,0,5,0
Baltimore City,07,43,027-030,DEMOCRAT,348,181,13,12,1241
Baltimore City,07,43,027-030,GREEN,0,0,0,0,0
Baltimore City,07,43,027-030,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-030,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-030,REPUBLICAN,5,4,0,0,28
Baltimore City,07,43,027-030,UNAFFILIATED,0,0,0,2,0
Baltimore City,07,43,027-031,DEMOCRAT,552,263,9,4,1904
Baltimore City,07,43,027-031,GREEN,0,0,0,0,0
Baltimore City,07,43,027-031,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-031,OTHER PARTIES,0,0,0,1,0
Baltimore City,07,43,027-031,REPUBLICAN,10,2,0,0,71
Baltimore City,07,43,027-031,UNAFFILIATED,0,0,0,10,0
Baltimore City,03,43,027-032,DEMOCRAT,633,225,34,20,1768
Baltimore City,03,43,027-032,GREEN,0,0,0,0,0
Baltimore City,03,43,027-032,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,43,027-032,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,43,027-032,REPUBLICAN,31,8,1,9,166
Baltimore City,03,43,027-032,UNAFFILIATED,0,0,0,22,0
Baltimore City,07,43,027-033,DEMOCRAT,594,298,23,29,1872
Baltimore City,07,43,027-033,GREEN,0,0,0,1,0
Baltimore City,07,43,027-033,LIBERTARIAN,0,0,0,1,0
Baltimore City,07,43,027-033,OTHER PARTIES,0,0,0,2,0
Baltimore City,07,43,027-033,REPUBLICAN,30,4,2,0,114
Baltimore City,07,43,027-033,UNAFFILIATED,0,0,0,17,0
Baltimore City,07,43,027-034,DEMOCRAT,377,100,7,19,1263
Baltimore City,07,43,027-034,GREEN,0,0,0,1,0
Baltimore City,07,43,027-034,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-034,OTHER PARTIES,0,0,0,1,0
Baltimore City,07,43,027-034,REPUBLICAN,6,3,0,1,49
Baltimore City,07,43,027-034,UNAFFILIATED,0,0,0,15,0
Baltimore City,07,43,027-035,DEMOCRAT,462,376,15,22,2413
Baltimore City,07,43,027-035,GREEN,0,0,0,0,0
Baltimore City,07,43,027-035,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-035,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-035,REPUBLICAN,8,5,1,0,74
Baltimore City,07,43,027-035,UNAFFILIATED,0,0,0,0,0
Baltimore City,07,43,027-036,DEMOCRAT,205,67,2,7,751
Baltimore City,07,43,027-036,GREEN,0,0,0,1,0
Baltimore City,07,43,027-036,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-036,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-036,REPUBLICAN,3,1,0,0,28
Baltimore City,07,43,027-036,UNAFFILIATED,0,0,0,11,0
Baltimore City,03,43,027-037,DEMOCRAT,209,60,13,7,447
Baltimore City,03,43,027-037,GREEN,0,0,0,0,0
Baltimore City,03,43,027-037,LIBERTARIAN,0,0,0,1,0
Baltimore City,03,43,027-037,OTHER PARTIES,0,0,0,2,0
Baltimore City,03,43,027-037,REPUBLICAN,40,1,2,4,123
Baltimore City,03,43,027-037,UNAFFILIATED,0,0,0,6,0
Baltimore City,03,43,027-038,DEMOCRAT,365,98,19,6,972
Baltimore City,03,43,027-038,GREEN,0,0,0,0,0
Baltimore City,03,43,027-038,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,43,027-038,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,43,027-038,REPUBLICAN,40,4,2,0,194
Baltimore City,03,43,027-038,UNAFFILIATED,0,0,0,0,0
Baltimore City,03,43,027-039,DEMOCRAT,327,33,16,19,531
Baltimore City,03,43,027-039,GREEN,0,0,0,0,0
Baltimore City,03,43,027-039,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,43,027-039,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,43,027-039,REPUBLICAN,53,4,1,2,152
Baltimore City,03,43,027-039,UNAFFILIATED,0,0,0,4,0
Baltimore City,03,43,027-040,DEMOCRAT,515,101,31,15,913
Baltimore City,03,43,027-040,GREEN,0,0,0,1,0
Baltimore City,03,43,027-040,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,43,027-040,OTHER PARTIES,0,0,0,1,0
Baltimore City,03,43,027-040,REPUBLICAN,113,7,0,2,288
Baltimore City,03,43,027-040,UNAFFILIATED,0,0,0,10,0
Baltimore City,03,43,027-041,DEMOCRAT,556,180,81,3,1195
Baltimore City,03,43,027-041,GREEN,0,0,0,0,0
Baltimore City,03,43,027-041,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,43,027-041,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,43,027-041,REPUBLICAN,111,15,7,0,313
Baltimore City,03,43,027-041,UNAFFILIATED,0,0,0,0,0
Baltimore City,03,41,027-042,DEMOCRAT,582,96,47,9,1068
Baltimore City,03,41,027-042,GREEN,0,0,0,0,0
Baltimore City,03,41,027-042,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-042,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-042,REPUBLICAN,103,4,5,1,283
Baltimore City,03,41,027-042,UNAFFILIATED,0,0,0,14,0
Baltimore City,03,41,027-043,DEMOCRAT,292,66,17,7,559
Baltimore City,03,41,027-043,GREEN,0,0,0,0,0
Baltimore City,03,41,027-043,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-043,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-043,REPUBLICAN,35,7,0,0,84
Baltimore City,03,41,027-043,UNAFFILIATED,0,0,0,2,0
Baltimore City,03,41,027-044,DEMOCRAT,515,70,40,2,865
Baltimore City,03,41,027-044,GREEN,0,0,0,0,0
Baltimore City,03,41,027-044,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-044,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-044,REPUBLICAN,66,6,6,1,158
Baltimore City,03,41,027-044,UNAFFILIATED,0,0,0,6,0
Baltimore City,03,41,027-045,DEMOCRAT,707,105,50,7,1204
Baltimore City,03,41,027-045,GREEN,0,0,0,0,0
Baltimore City,03,41,027-045,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-045,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-045,REPUBLICAN,85,2,1,1,189
Baltimore City,03,41,027-045,UNAFFILIATED,0,0,0,9,0
Baltimore City,03,41,027-046,DEMOCRAT,372,70,19,17,622
Baltimore City,03,41,027-046,GREEN,0,0,0,0,0
Baltimore City,03,41,027-046,LIBERTARIAN,0,0,0,1,0
Baltimore City,03,41,027-046,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-046,REPUBLICAN,41,5,3,1,107
Baltimore City,03,41,027-046,UNAFFILIATED,0,0,0,8,0
Baltimore City,03,41,027-047,DEMOCRAT,327,43,17,0,723
Baltimore City,03,41,027-047,GREEN,0,0,0,0,0
Baltimore City,03,41,027-047,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-047,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-047,REPUBLICAN,35,1,2,0,121
Baltimore City,03,41,027-047,UNAFFILIATED,0,0,0,0,0
Baltimore City,07,41,027-048,DEMOCRAT,293,130,24,8,767
Baltimore City,07,41,027-048,GREEN,0,0,0,0,0
Baltimore City,07,41,027-048,LIBERTARIAN,0,0,0,1,0
Baltimore City,07,41,027-048,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,41,027-048,REPUBLICAN,10,0,2,3,34
Baltimore City,07,41,027-048,UNAFFILIATED,0,0,0,5,0
Baltimore City,03,41,027-049,DEMOCRAT,936,362,119,27,2013
Baltimore City,03,41,027-049,GREEN,0,0,0,1,0
Baltimore City,03,41,027-049,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-049,OTHER PARTIES,0,0,0,1,0
Baltimore City,03,41,027-049,REPUBLICAN,74,22,8,7,287
Baltimore City,03,41,027-049,UNAFFILIATED,0,0,0,26,0
Baltimore City,03,41,027-050,DEMOCRAT,485,145,27,8,917
Baltimore City,03,41,027-050,GREEN,0,0,0,0,0
Baltimore City,03,41,027-050,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-050,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-050,REPUBLICAN,29,5,3,0,72
Baltimore City,03,41,027-050,UNAFFILIATED,0,0,0,5,0
Baltimore City,07,41,027-051,DEMOCRAT,79,15,19,0,207
Baltimore City,07,41,027-051,GREEN,0,0,0,0,0
Baltimore City,07,41,027-051,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,41,027-051,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,41,027-051,REPUBLICAN,1,0,2,0,19
Baltimore City,07,41,027-051,UNAFFILIATED,0,0,0,0,0
Baltimore City,07,41,027-052,DEMOCRAT,582,274,23,29,2284
Baltimore City,07,41,027-052,GREEN,0,0,0,0,0
Baltimore City,07,41,027-052,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,41,027-052,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,41,027-052,REPUBLICAN,7,3,0,0,58
Baltimore City,07,41,027-052,UNAFFILIATED,0,0,0,2,0
Baltimore City,07,40,027-053,DEMOCRAT,350,135,12,9,1350
Baltimore City,07,40,027-053,GREEN,0,0,0,0,0
Baltimore City,07,40,027-053,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,40,027-053,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,40,027-053,REPUBLICAN,2,2,2,0,34
Baltimore City,07,40,027-053,UNAFFILIATED,0,0,0,0,0
Baltimore City,07,40,027-054,DEMOCRAT,85,34,3,8,477
Baltimore City,07,40,027-054,GREEN,0,0,0,0,0
Baltimore City,07,40,027-054,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,40,027-054,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,40,027-054,REPUBLICAN,4,1,0,0,23
Baltimore City,07,40,027-054,UNAFFILIATED,0,0,0,3,0
Baltimore City,07,41,027-055,DEMOCRAT,166,42,2,31,698
Baltimore City,07,41,027-055,GREEN,0,0,0,0,0
Baltimore City,07,41,027-055,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,41,027-055,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,41,027-055,REPUBLICAN,2,1,0,3,28
Baltimore City,07,41,027-055,UNAFFILIATED,0,0,0,3,0
Baltimore City,07,41,027-056,DEMOCRAT,193,79,3,16,851
Baltimore City,07,41,027-056,GREEN,0,0,0,0,0
Baltimore City,07,41,027-056,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,41,027-056,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,41,027-056,REPUBLICAN,5,1,0,0,30
Baltimore City,07,41,027-056,UNAFFILIATED,0,0,0,6,0
Baltimore City,07,41,027-057,DEMOCRAT,345,269,21,7,1738
Baltimore City,07,41,027-057,GREEN,0,0,0,0,0
Baltimore City,07,41,027-057,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,41,027-057,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,41,027-057,REPUBLICAN,7,2,0,2,52
Baltimore City,07,41,027-057,UNAFFILIATED,0,0,0,10,0
Baltimore City,07,41,027-058,DEMOCRAT,136,49,6,26,537
Baltimore City,07,41,027-058,GREEN,0,0,0,0,0
Baltimore City,07,41,027-058,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,41,027-058,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,41,027-058,REPUBLICAN,3,1,0,1,19
Baltimore City,07,41,027-058,UNAFFILIATED,0,0,0,0,0
Baltimore City,07,41,027-059,DEMOCRAT,173,127,5,26,790
Baltimore City,07,41,027-059,GREEN,0,0,0,0,0
Baltimore City,07,41,027-059,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,41,027-059,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,41,027-059,REPUBLICAN,1,1,0,2,34
Baltimore City,07,41,027-059,UNAFFILIATED,0,0,0,5,0
Baltimore City,07,41,027-060,DEMOCRAT,330,286,7,16,1276
Baltimore City,07,41,027-060,GREEN,0,0,0,0,0
Baltimore City,07,41,027-060,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,41,027-060,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,41,027-060,REPUBLICAN,16,18,2,1,106
Baltimore City,07,41,027-060,UNAFFILIATED,0,0,0,9,0
Baltimore City,07,41,027-061,DEMOCRAT,149,102,11,3,594
Baltimore City,07,41,027-061,GREEN,0,0,0,0,0
Baltimore City,07,41,027-061,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,41,027-061,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,41,027-061,REPUBLICAN,3,3,2,0,38
Baltimore City,07,41,027-061,UNAFFILIATED,0,0,0,1,0
Baltimore City,03,41,027-062,DEMOCRAT,261,317,55,4,1304
Baltimore City,03,41,027-062,GREEN,0,0,0,0,0
Baltimore City,03,41,027-062,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-062,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-062,REPUBLICAN,46,36,7,0,287
Baltimore City,03,41,027-062,UNAFFILIATED,0,0,0,3,0
Baltimore City,03,41,027-063,DEMOCRAT,285,336,32,13,1336
Baltimore City,03,41,027-063,GREEN,0,0,0,0,0
Baltimore City,03,41,027-063,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-063,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-063,REPUBLICAN,60,32,4,2,231
Baltimore City,03,41,027-063,UNAFFILIATED,0,0,0,3,0
Baltimore City,03,41,027-064,DEMOCRAT,336,317,50,8,1093
Baltimore City,03,41,027-064,GREEN,0,0,0,0,0
Baltimore City,03,41,027-064,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-064,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-064,REPUBLICAN,89,32,6,6,322
Baltimore City,03,41,027-064,UNAFFILIATED,0,0,0,8,0
Baltimore City,03,41,027-065,DEMOCRAT,464,491,110,18,1805
Baltimore City,03,41,027-065,GREEN,0,0,0,0,0
Baltimore City,03,41,027-065,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-065,OTHER PARTIES,0,0,0,1,0
Baltimore City,03,41,027-065,REPUBLICAN,102,98,16,3,587
Baltimore City,03,41,027-065,UNAFFILIATED,0,0,0,20,0
Baltimore City,03,41,027-066,DEMOCRAT,323,417,81,36,1365
Baltimore City,03,41,027-066,GREEN,0,0,0,0,0
Baltimore City,03,41,027-066,LIBERTARIAN,0,0,0,1,0
Baltimore City,03,41,027-066,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-066,REPUBLICAN,85,55,22,3,434
Baltimore City,03,41,027-066,UNAFFILIATED,0,0,0,10,0
Baltimore City,03,41,027-067,DEMOCRAT,393,245,53,4,1521
Baltimore City,03,41,027-067,GREEN,0,0,0,2,0
Baltimore City,03,41,027-067,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,41,027-067,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,41,027-067,REPUBLICAN,30,31,7,2,222
Baltimore City,03,41,027-067,UNAFFILIATED,0,0,0,0,0
Baltimore City,07,41,028-001,DEMOCRAT,282,148,10,12,1100
Baltimore City,07,41,028-001,GREEN,0,0,0,0,0
Baltimore City,07,41,028-001,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,41,028-001,OTHER PARTIES,0,0,0,2,0
Baltimore City,07,41,028-001,REPUBLICAN,11,3,0,0,45
Baltimore City,07,41,028-001,UNAFFILIATED,0,0,0,6,0
Baltimore City,07,41,028-002,DEMOCRAT,509,311,32,20,1827
Baltimore City,07,41,028-002,GREEN,0,0,0,0,0
Baltimore City,07,41,028-002,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,41,028-002,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,41,028-002,REPUBLICAN,4,4,1,0,58
Baltimore City,07,41,028-002,UNAFFILIATED,0,0,0,5,0
Baltimore City,07,41,028-003,DEMOCRAT,108,50,0,1,386
